# S&P 500 Index ($SPX) downloaded from https://www.barchart.com/stocks/quotes/$SPX on 2020/10/29
Symbol,Name,Sector,Industry,Exchange,Options,"Market Cap [$K]",Volume,Price,Earnings,Price/Earnings,Dividend
JCI,"Johnson Controls Intl","Industrial Products","Protection - Safety",NYSE,Yes,30610132,4711000,41.14,2.27,18.58,0.260
JKHY,"Jack Henry & Assoc","Computers and Technology","Electronic Misc Services",NASDAQ,Yes,11416079,584100,149.57,3.86,39.18,0.430
JNJ,"Johnson & Johnson",Medical,"Large Cap Pharma",NYSE,Yes,364238656,8426000,138.36,8.05,17.78,1.010
JNPR,"Juniper Networks","Computers and Technology","Wireless Equipment",NYSE,Yes,6794240,10070100,20.48,1.15,20.05,0.200
JPM,"JP Morgan Chase & Company",Finance,"Banks - Major Regional",NYSE,Yes,294215712,16389400,96.54,7.65,12.98,0.900
K,"Kellogg Company","Consumer Staples","Food - Misc & Diversified",NYSE,Yes,21771928,2557500,63.49,4.17,15.57,0.570
KEY,Keycorp,Finance,"Banks - Major Regional",NYSE,Yes,12102400,7233000,12.40,1.17,10.79,0.185
KEYS,"Keysight Technologies Inc Comm","Computers and Technology","Electronics - Measuring Inst",NYSE,Yes,19518598,967100,104.30,4.14,25.82,N/A
KHC,"Kraft Heinz Company","Consumer Staples","Food - Misc & Diversified",NASDAQ,Yes,35723756,7781000,29.22,2.79,11.00,0.400
KIM,"Kimco Realty Corp",Finance,"REIT - Equity Trust Retail",NYSE,Yes,4420191,4403900,10.22,2.26,7.84,0.100
KLAC,"K L A-Tencor Corp","Computers and Technology","Electronics Products - Misc",NASDAQ,Yes,29556400,1554700,190.55,10.34,19.21,0.900
KMB,"Kimberly-Clark Corp","Consumer Staples","Consumer Prdts - Misc Staple",NYSE,Yes,45234820,2728000,132.99,7.76,17.37,1.070
KMI,"Kinder Morgan",Oils-Energy,"Oil - Production & Pipeline",NYSE,Yes,26780682,19961400,11.83,0.88,13.83,0.262
KMX,"Carmax Inc",Retail-Wholesale,"Retail - Wholesale Auto Parts",NYSE,Yes,14419965,1413900,87.88,4.36,20.06,N/A
KO,"Coca-Cola Company","Consumer Staples","Beverages - Soft",NYSE,Yes,206104976,19886100,47.96,1.92,25.99,0.410
KR,"Kroger Company",Retail-Wholesale,"Retail - Supermarket",NYSE,Yes,24902292,11676400,32.16,2.99,10.82,0.180
KSU,"Kansas City Southern",Transportation,"Transportation - Rail",NYSE,Yes,16217480,899800,173.26,6.89,25.57,0.400
L,"Loews Corp",Finance,"Insurance - Multi Line",NYSE,Yes,9327567,972300,33.26,2.41,14.17,0.063
LB,"L Brands Inc",Retail-Wholesale,"Retail - Apparel & Shoes",NYSE,Yes,8967478,1808000,32.27,1.16,28.97,0.300
LDOS,"Leidos Holdings Inc",Aerospace,"Aerospace - Defense",NYSE,Yes,11281671,727500,79.34,5.61,14.74,0.340
LEG,"Leggett & Platt Inc","Consumer Discretionary",Furniture,NYSE,Yes,5379128,937000,40.63,2.01,20.90,0.400
LEN,"Lennar Corp",Construction,"Building - Residential & Comm",NYSE,Yes,22620268,2754800,72.33,7.02,10.33,0.250
LH,"Laboratory Corp of America Holdings",Medical,"Medical - Dental Suppliers",NYSE,Yes,19869600,613300,204.00,10.70,12.74,0.080
LHX,"L3Harris Technologies Inc",Aerospace,"Aerospace - Defense",NYSE,Yes,34876580,1217900,161.32,11.06,15.03,0.850
LIN,"Linde Plc",Oils-Energy,"Oil - Field Services",NYSE,Yes,113955840,2297200,216.91,7.62,29.59,0.963
LKQ,"LKQ Corp",Auto-Tires-Trucks,"Auto - Truck Replacement Parts",NASDAQ,Yes,9058802,3552000,29.77,2.25,13.73,N/A
LLY,"Eli Lilly and Company",Medical,"Large Cap Pharma",NYSE,Yes,125594072,6188000,131.31,6.85,19.09,0.740
LMT,"Lockheed Martin Corp",Aerospace,"Aerospace - Defense",NYSE,Yes,98165008,1680100,350.86,23.75,15.26,2.400
LNC,"Lincoln National Corp",Finance,"Insurance - Life",NYSE,Yes,6321306,2234300,32.71,7.84,4.31,0.400
LNT,"Alliant Energy Corp",Utilities,"Utility - Electric Power",NASDAQ,Yes,13860235,1267400,55.52,2.64,21.65,0.380
LOW,"Lowe's Companies",Retail-Wholesale,"Building Prds Retail - Wsale",NYSE,Yes,121990912,4947600,161.42,7.87,20.98,0.600
